14:01:07.744 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60096 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:07.876 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60096 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:08.745 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60051 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:08.872 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60051 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:09.745 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60098 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:09.815 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60098 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:10.746 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60053 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:10.884 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60053 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:11.746 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60100 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:11.864 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60100 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:12.746 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60055 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:12.761 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60055 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:13.747 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60102 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:13.805 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60102 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:51.687 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60057 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:51.887 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60057 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:52.688 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60056 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:52.895 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60056 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:53.688 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60059 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:53.756 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60059 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:54.688 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60058 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:54.762 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60058 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:55.689 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60061 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:55.789 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60061 | Bytes: 54    | MAX: 58    | Pld: Sin payload
